;STATIONS_ID;MESS_DATUM;QN_8;  R1;RS_IND;WRTR;eor
187;44;2018082219;3;0.0;0;-999;eor
188;44;2018082220;3;0.0;0;-999;eor
189;44;2018082221;3;0.0;0;-999;eor
190;44;2018082222;3;0.0;0;-999;eor
191;44;2018082223;3;0.0;0;-999;eor
192;44;2018082300;3;0.0;0;-999;eor
193;44;2018082301;3;0.0;0;-999;eor
194;44;2018082302;3;0.0;0;-999;eor
195;44;2018082303;3;0.0;0;-999;eor
196;44;2018082304;3;0.0;0;-999;eor
197;44;2018082305;3;0.0;0;-999;eor
198;44;2018082306;3;0.0;0;-999;eor
199;44;2018082307;3;0.0;0;-999;eor
200;44;2018082308;3;0.0;0;-999;eor
201;44;2018082309;3;0.0;0;-999;eor
202;44;2018082310;3;0.0;0;-999;eor
203;44;2018082311;3;0.0;0;-999;eor
204;44;2018082312;3;0.0;0;-999;eor
205;44;2018082313;3;0.0;0;-999;eor
206;44;2018082314;3;0.0;0;-999;eor
207;44;2018082315;3;0.0;0;-999;eor
208;44;2018082316;3;0.0;0;-999;eor
209;44;2018082317;3;0.0;0;-999;eor
210;44;2018082318;3;0.0;0;-999;eor
211;44;2018082319;3;0.0;0;-999;eor
212;44;2018082320;3;0.0;0;-999;eor
213;44;2018082321;3;0.0;0;-999;eor
214;44;2018082322;3;0.0;0;-999;eor
215;44;2018082323;3;0.0;0;-999;eor
216;44;2018082400;3;0.0;1;-999;eor
217;44;2018082401;3;2.9;1;-999;eor
218;44;2018082402;3;0.2;1;-999;eor
219;44;2018082403;3;0.0;0;-999;eor
220;44;2018082404;3;0.0;0;-999;eor
221;44;2018082405;3;0.0;0;-999;eor
222;44;2018082406;3;0.0;0;-999;eor
223;44;2018082407;3;0.0;0;-999;eor
224;44;2018082408;3;0.6;1;-999;eor
225;44;2018082409;3;0.0;0;-999;eor
226;44;2018082410;3;0.0;0;-999;eor
227;44;2018082411;3;0.0;0;-999;eor
228;44;2018082412;3;0.0;0;-999;eor
229;44;2018082413;3;0.3;1;-999;eor
230;44;2018082414;3;0.0;0;-999;eor
